feature,importance
bb_pb,0.13508336
return_lag2,0.13027087
macd_hist,0.12905718
bb_bandwidth,0.1277715
rolling_volatility,0.1236292
dist_to_ma5,0.12310258
return_lag1,0.11870598
rsi,0.112379245
