feature,importance
macd_hist,0.13589872
return_lag1,0.13442872
bb_bandwidth,0.12838478
dist_to_ma5,0.1253596
rsi,0.12281885
bb_pb,0.11825252
return_lag2,0.11770636
rolling_volatility,0.11715049
