"Date","Price","Open","High","Low","Vol.","Change %"
"12/04/2019","1,386.71","1,367.13","1,386.71","1,367.13","100.13M","1.43%"
"12/03/2019","1,367.13","1,376.29","1,377.17","1,361.43","127.87M","-0.67%"
"12/02/2019","1,376.29","1,400.44","1,401.62","1,376.29","138.36M","-1.72%"
"12/01/2019","1,400.44","1,402.00","1,408.62","1,400.44","75.87M","-0.11%"
"11/28/2019","1,402.00","1,392.96","1,403.36","1,392.95","73.47M","0.65%"
"11/27/2019","1,392.96","1,398.27","1,399.57","1,392.88","52.05M","-0.38%"
"11/26/2019","1,398.27","1,410.58","1,410.63","1,398.27","104.50M","-0.87%"
"11/25/2019","1,410.58","1,417.56","1,420.29","1,409.71","91.12M","-0.49%"
"11/24/2019","1,417.56","1,427.50","1,427.50","1,417.56","47.15M","-0.70%"
"11/21/2019","1,427.50","1,427.33","1,432.48","1,424.63","115.46M","0.01%"
"11/20/2019","1,427.33","1,421.38","1,428.15","1,421.19","180.64M","0.42%"
"11/19/2019","1,421.38","1,424.99","1,427.83","1,421.38","117.98M","-0.25%"
"11/18/2019","1,424.99","1,438.68","1,438.72","1,424.99","102.93M","-0.95%"
"11/17/2019","1,438.68","1,447.79","1,448.75","1,438.68","99.07M","-0.63%"
"11/14/2019","1,447.79","1,451.05","1,452.88","1,440.57","136.79M","-0.22%"
"11/13/2019","1,451.05","1,453.93","1,454.68","1,450.49","104.40M","-0.20%"
"11/12/2019","1,453.93","1,462.21","1,462.59","1,453.93","174.00M","-0.57%"
"11/11/2019","1,462.21","1,459.57","1,467.39","1,459.57","187.84M","0.18%"
"11/07/2019","1,459.57","1,452.61","1,461.12","1,452.61","117.61M","0.48%"
"11/06/2019","1,452.61","1,452.44","1,459.20","1,452.24","125.57M","0.01%"
"11/05/2019","1,452.44","1,445.11","1,454.51","1,445.11","135.44M","0.51%"
"11/04/2019","1,445.11","1,445.28","1,449.42","1,445.09","158.80M","-0.01%"
"11/03/2019","1,445.28","1,436.86","1,449.53","1,436.86","150.86M","0.59%"
"10/31/2019","1,436.86","1,430.99","1,438.40","1,430.99","240.91M","0.41%"
"10/30/2019","1,430.99","1,427.51","1,434.64","1,427.51","161.38M","0.24%"
"10/29/2019","1,427.51","1,414.10","1,428.07","1,414.10","226.26M","0.95%"
"10/28/2019","1,414.10","1,407.41","1,415.56","1,406.59","194.26M","0.48%"
"10/27/2019","1,407.41","1,406.50","1,411.79","1,406.50","179.69M","0.06%"
"10/24/2019","1,406.50","1,400.15","1,407.92","1,399.00","146.95M","0.45%"
"10/23/2019","1,400.15","1,413.96","1,413.96","1,398.09","146.95M","-0.98%"
"10/22/2019","1,413.96","1,417.02","1,418.55","1,413.94","173.21M","-0.22%"
"10/21/2019","1,417.02","1,418.44","1,422.34","1,417.00","128.04M","-0.10%"
"10/20/2019","1,418.44","1,414.96","1,422.05","1,414.96","92.76M","0.25%"
"10/17/2019","1,414.96","1,407.49","1,415.04","1,407.49","235.23M","0.53%"
"10/16/2019","1,407.49","1,390.54","1,407.49","1,390.54","190.34M","1.22%"
"10/15/2019","1,390.54","1,405.95","1,406.21","1,390.40","118.80M","-1.10%"
"10/14/2019","1,405.95","1,412.05","1,416.08","1,405.91","159.28M","-0.43%"
"10/13/2019","1,412.05","1,408.54","1,414.32","1,408.54","91.61M","0.25%"
"10/10/2019","1,408.54","1,397.69","1,411.30","1,397.69","146.15M","0.78%"
"10/09/2019","1,397.69","1,406.24","1,406.24","1,395.84","131.55M","-0.61%"
"10/08/2019","1,406.24","1,416.31","1,421.92","1,406.24","215.85M","-0.71%"
"10/07/2019","1,416.31","1,396.19","1,417.55","1,396.19","201.35M","1.44%"
"10/03/2019","1,396.19","1,388.14","1,396.29","1,369.06","248.44M","0.58%"
"10/02/2019","1,388.14","1,414.61","1,417.19","1,388.14","189.88M","-1.87%"
"10/01/2019","1,414.61","1,393.07","1,416.21","1,393.07","167.96M","1.55%"
"09/30/2019","1,393.07","1,389.72","1,394.98","1,388.23","200.49M","0.24%"
"09/29/2019","1,389.72","1,339.59","1,390.21","1,339.59","486.19M","3.74%"
"09/26/2019","1,339.59","1,327.30","1,344.19","1,327.30","231.19M","0.93%"
"09/25/2019","1,327.30","1,293.67","1,327.69","1,293.67","185.46M","2.60%"
"09/24/2019","1,293.67","1,334.65","1,334.65","1,293.45","266.00M","-3.07%"
"09/23/2019","1,334.65","1,358.04","1,358.04","1,334.65","244.57M","-1.72%"
"09/22/2019","1,358.04","1,439.86","1,439.86","1,357.50","","-5.68%"
"09/19/2019","1,439.86","1,440.43","1,444.07","1,438.57","191.34M","-0.04%"
"09/18/2019","1,440.43","1,443.67","1,446.51","1,438.62","133.20M","-0.22%"
"09/17/2019","1,443.67","1,467.24","1,469.94","1,443.62","252.37M","-1.61%"
"09/16/2019","1,467.24","1,474.16","1,474.16","1,459.74","170.03M","-0.47%"
"09/15/2019","1,474.16","1,480.62","1,484.83","1,474.16","109.19M","-0.44%"
"09/12/2019","1,480.62","1,481.07","1,483.16","1,479.63","150.87M","-0.03%"
"09/11/2019","1,481.07","1,481.80","1,486.66","1,480.95","129.55M","-0.05%"
"09/10/2019","1,481.80","1,473.45","1,486.39","1,473.45","116.13M","0.57%"
"09/09/2019","1,473.45","1,477.42","1,481.16","1,473.04","137.99M","-0.27%"
"09/08/2019","1,477.42","1,469.49","1,480.68","1,469.49","116.56M","0.54%"
"09/05/2019","1,469.49","1,466.87","1,472.33","1,465.30","155.82M","0.18%"
"09/04/2019","1,466.87","1,469.08","1,473.89","1,466.85","155.21M","-0.15%"
"09/03/2019","1,469.08","1,477.93","1,482.74","1,469.08","151.34M","-0.60%"
"09/02/2019","1,477.93","1,461.62","1,479.06","1,456.79","178.11M","1.12%"
"09/01/2019","1,461.62","1,455.08","1,462.30","1,455.08","117.87M","0.45%"
"08/29/2019","1,455.08","1,447.45","1,458.55","1,447.45","201.48M","0.53%"
"08/28/2019","1,447.45","1,427.08","1,448.58","1,426.25","172.47M","1.43%"
"08/27/2019","1,427.08","1,427.15","1,433.00","1,427.02","268.80M","0.00%"
"08/26/2019","1,427.15","1,435.02","1,435.61","1,421.52","207.77M","-0.55%"
"08/25/2019","1,435.02","1,443.25","1,455.10","1,435.02","334.85M","-0.57%"
"08/22/2019","1,443.25","1,444.63","1,446.99","1,442.60","179.54M","-0.10%"
"08/21/2019","1,444.63","1,443.44","1,454.80","1,443.44","277.54M","0.08%"
"08/20/2019","1,443.44","1,430.01","1,444.12","1,430.01","262.22M","0.94%"
"08/19/2019","1,430.01","1,427.89","1,432.83","1,424.68","309.74M","0.15%"
"08/18/2019","1,427.89","1,420.89","1,430.28","1,420.89","178.87M","0.49%"
"08/15/2019","1,420.89","1,431.74","1,432.04","1,419.18","170.53M","-0.76%"
"08/14/2019","1,431.74","1,404.23","1,431.75","1,404.23","199.32M","1.96%"
"08/08/2019","1,404.23","1,377.16","1,404.81","1,377.14","222.31M","1.97%"
"08/07/2019","1,377.16","1,360.55","1,377.18","1,360.55","227.59M","1.22%"
"08/06/2019","1,360.55","1,361.74","1,362.79","1,357.72","117.78M","-0.09%"
"08/05/2019","1,361.74","1,364.94","1,365.87","1,361.47","155.63M","-0.23%"
"08/04/2019","1,364.94","1,359.91","1,367.33","1,359.76","145.95M","0.37%"
"08/01/2019","1,359.91","1,347.02","1,359.91","1,346.26","148.68M","0.96%"
"07/31/2019","1,347.02","1,352.72","1,352.72","1,344.23","144.00M","-0.42%"
"07/30/2019","1,352.72","1,356.70","1,360.27","1,352.72","153.10M","-0.29%"
"07/29/2019","1,356.70","1,362.54","1,363.60","1,356.60","91.70M","-0.43%"
"07/28/2019","1,362.54","1,375.77","1,378.23","1,362.54","68.20M","-0.96%"
"07/25/2019","1,375.77","1,376.92","1,382.10","1,375.54","116.02M","-0.08%"
"07/24/2019","1,376.92","1,374.70","1,381.16","1,374.70","135.18M","0.16%"
"07/22/2019","1,374.70","1,372.31","1,375.64","1,369.11","95.55M","0.17%"
"07/21/2019","1,372.31","1,376.08","1,376.14","1,372.31","99.27M","-0.27%"
"07/18/2019","1,376.08","1,371.54","1,376.26","1,371.54","113.55M","0.33%"
"07/17/2019","1,371.54","1,376.42","1,376.91","1,370.69","119.63M","-0.35%"
"07/16/2019","1,376.42","1,389.99","1,394.41","1,376.42","129.97M","-0.98%"
"07/15/2019","1,389.99","1,390.62","1,391.71","1,387.20","159.90M","-0.05%"
"07/14/2019","1,390.62","1,403.32","1,404.88","1,390.62","129.22M","-0.90%"
"07/11/2019","1,403.32","1,411.94","1,413.23","1,403.29","131.31M","-0.61%"
"07/10/2019","1,411.94","1,408.80","1,423.31","1,408.79","126.58M","0.22%"
"07/09/2019","1,408.80","1,435.58","1,440.27","1,405.17","221.51M","-1.87%"
"07/08/2019","1,435.58","1,464.86","1,469.22","1,435.55","225.21M","-2.00%"
"07/07/2019","1,464.86","1,524.14","1,525.23","1,464.80","459.40M","-3.89%"
"07/04/2019","1,524.14","1,539.00","1,539.00","1,524.14","204.33M","-0.97%"
"07/03/2019","1,539.00","1,541.43","1,543.36","1,538.98","221.86M","-0.16%"
"07/02/2019","1,541.43","1,540.64","1,543.07","1,540.27","214.02M","0.05%"
"06/27/2019","1,540.64","1,534.43","1,541.93","1,534.43","277.24M","0.40%"
"06/26/2019","1,534.43","1,523.12","1,534.43","1,523.12","266.15M","0.74%"
"06/25/2019","1,523.12","1,528.13","1,528.13","1,523.05","93.22M","-0.33%"
"06/24/2019","1,528.13","1,535.70","1,536.79","1,528.13","69.53M","-0.49%"
"06/23/2019","1,535.70","1,536.89","1,538.97","1,535.19","53.88M","-0.08%"
"06/20/2019","1,536.89","1,541.76","1,542.04","1,536.83","123.75M","-0.32%"
"06/19/2019","1,541.76","1,544.13","1,546.19","1,541.76","78.67M","-0.15%"
"06/18/2019","1,544.13","1,549.15","1,549.15","1,544.13","73.86M","-0.32%"
"06/17/2019","1,549.15","1,549.83","1,552.29","1,548.20","89.41M","-0.04%"
"06/16/2019","1,549.83","1,546.83","1,550.39","1,546.83","74.04M","0.19%"
"06/13/2019","1,546.83","1,547.75","1,551.82","1,546.83","97.76M","-0.06%"
"06/12/2019","1,547.75","1,546.91","1,548.59","1,545.73","127.51M","0.05%"
"06/11/2019","1,546.91","1,544.53","1,550.60","1,544.48","148.21M","0.15%"
"06/10/2019","1,544.53","1,532.54","1,545.95","1,532.54","165.54M","0.78%"
"06/09/2019","1,532.54","1,521.41","1,532.84","1,521.41","86.60M","0.73%"
"06/03/2019","1,521.41","1,519.74","1,521.41","1,516.90","52.84M","0.11%"
"06/02/2019","1,519.74","1,521.84","1,521.90","1,517.77","86.60M","-0.14%"
"05/30/2019","1,521.84","1,537.30","1,537.87","1,521.82","105.13M","-1.01%"
"05/29/2019","1,537.30","1,541.58","1,545.27","1,537.30","158.64M","-0.28%"
"05/28/2019","1,541.58","1,536.95","1,541.58","1,536.74","148.76M","0.30%"
"05/27/2019","1,536.95","1,544.18","1,545.62","1,535.96","89.67M","-0.47%"
"05/26/2019","1,544.18","1,536.45","1,544.18","1,536.10","108.29M","0.50%"
"05/23/2019","1,536.45","1,523.81","1,536.59","1,523.74","64.51M","0.83%"
"05/22/2019","1,523.81","1,529.34","1,533.62","1,523.80","67.15M","-0.36%"
"05/21/2019","1,529.34","1,518.91","1,529.37","1,517.37","96.31M","0.69%"
"05/20/2019","1,518.91","1,527.14","1,527.22","1,518.90","69.87M","-0.54%"
"05/19/2019","1,527.14","1,546.43","1,546.98","1,527.11","56.43M","-1.25%"
"05/16/2019","1,546.43","1,563.83","1,564.45","1,545.28","74.92M","-1.11%"
"05/15/2019","1,563.83","1,579.45","1,579.91","1,563.74","66.20M","-0.99%"
"05/14/2019","1,579.45","1,576.77","1,582.72","1,576.69","79.58M","0.17%"
"05/13/2019","1,576.77","1,584.05","1,584.31","1,574.31","118.66M","-0.46%"
"05/12/2019","1,584.05","1,579.78","1,584.93","1,579.67","65.97M","0.27%"
"05/09/2019","1,579.78","1,575.36","1,579.85","1,571.72","111.55M","0.28%"
"05/08/2019","1,575.36","1,613.25","1,613.25","1,575.23","120.34M","-2.35%"
"05/07/2019","1,613.25","1,627.99","1,631.45","1,613.25","66.95M","-0.91%"
"05/06/2019","1,627.99","1,642.88","1,642.90","1,627.99","60.41M","-0.91%"
"05/05/2019","1,642.88","1,658.00","1,658.68","1,642.87","111.74M","-0.91%"
"05/02/2019","1,658.00","1,657.31","1,660.27","1,657.28","46.96M","0.04%"
"04/30/2019","1,657.31","1,657.54","1,660.60","1,657.31","54.07M","-0.01%"
"04/24/2019","1,657.54","1,656.79","1,658.90","1,656.79","66.98M","0.05%"
"04/23/2019","1,656.79","1,661.37","1,662.87","1,656.79","73.82M","-0.28%"
"04/22/2019","1,661.37","1,672.36","1,678.41","1,661.11","68.48M","-0.66%"
"04/21/2019","1,672.36","1,682.29","1,682.29","1,672.36","41.02M","-0.59%"
"04/18/2019","1,682.29","1,691.60","1,691.93","1,682.05","104.00M","-0.55%"
"04/17/2019","1,691.60","1,696.97","1,696.97","1,690.15","80.62M","-0.32%"
"04/16/2019","1,696.97","1,708.96","1,709.20","1,696.97","133.59M","-0.70%"
"04/15/2019","1,708.96","1,716.10","1,716.10","1,708.46","70.86M","-0.42%"
"04/14/2019","1,716.10","1,707.68","1,716.45","1,707.68","74.75M","0.49%"
"04/11/2019","1,707.68","1,706.52","1,710.38","1,706.48","113.13M","0.07%"
"04/10/2019","1,706.52","1,705.21","1,707.67","1,704.19","95.07M","0.08%"
"04/09/2019","1,705.21","1,717.64","1,717.70","1,705.21","167.38M","-0.72%"
"04/08/2019","1,717.64","1,722.60","1,723.55","1,717.64","194.15M","-0.29%"
"04/07/2019","1,722.60","1,730.54","1,731.16","1,722.60","142.12M","-0.46%"
"04/04/2019","1,730.54","1,727.03","1,732.19","1,725.94","146.42M","0.20%"
"04/03/2019","1,727.03","1,747.38","1,749.92","1,727.01","131.10M","-1.16%"
"04/02/2019","1,747.38","1,739.79","1,747.55","1,739.78","154.42M","0.44%"
"04/01/2019","1,739.79","1,738.16","1,741.28","1,738.16","120.49M","0.09%"
"03/31/2019","1,738.16","1,739.21","1,742.26","1,738.16","","-0.06%"
"03/28/2019","1,739.21","1,731.92","1,739.21","1,731.92","136.87M","0.42%"
"03/27/2019","1,731.92","1,728.22","1,735.48","1,728.22","170.56M","0.21%"
"03/26/2019","1,728.22","1,734.82","1,735.46","1,727.26","212.08M","-0.38%"
"03/25/2019","1,734.82","1,743.02","1,745.66","1,734.82","140.10M","-0.47%"
"03/24/2019","1,743.02","1,740.72","1,745.48","1,740.72","","0.13%"
"03/21/2019","1,740.72","1,736.33","1,741.75","1,736.28","107.24M","0.25%"
"03/20/2019","1,736.33","1,736.03","1,739.32","1,734.40","130.99M","0.02%"
"03/19/2019","1,736.03","1,764.01","1,764.01","1,736.03","193.44M","-1.59%"
"03/18/2019","1,764.01","1,771.23","1,773.52","1,764.01","176.56M","-0.41%"
"03/17/2019","1,771.23","1,771.07","1,773.51","1,768.85","98.85M","0.01%"
"03/14/2019","1,771.07","1,780.00","1,782.80","1,771.06","180.58M","-0.50%"
"03/13/2019","1,780.00","1,790.01","1,794.52","1,780.00","198.13M","-0.56%"
"03/12/2019","1,790.01","1,790.07","1,792.62","1,790.01","221.88M","0.00%"
"03/11/2019","1,790.07","1,789.69","1,793.57","1,789.42","223.00M","0.02%"
"03/10/2019","1,789.69","1,789.05","1,792.54","1,789.05","145.18M","0.04%"
"03/07/2019","1,789.05","1,783.32","1,792.28","1,783.32","217.69M","0.32%"
"03/06/2019","1,783.32","1,785.31","1,786.91","1,780.49","187.67M","-0.11%"
"03/05/2019","1,785.31","1,787.53","1,792.45","1,785.29","155.63M","-0.12%"
"03/04/2019","1,787.53","1,804.88","1,805.63","1,787.52","216.66M","-0.96%"
"03/03/2019","1,804.88","1,812.01","1,814.85","1,804.88","215.94M","-0.39%"
"02/28/2019","1,812.01","1,801.53","1,818.55","1,801.53","509.32M","0.58%"
"02/27/2019","1,801.53","1,806.48","1,806.98","1,801.53","227.88M","-0.27%"
"02/26/2019","1,806.48","1,805.96","1,812.25","1,805.96","412.88M","0.03%"
"02/25/2019","1,805.96","1,803.46","1,805.96","1,801.60","299.75M","0.14%"
"02/24/2019","1,803.46","1,811.62","1,811.62","1,803.46","177.43M","-0.45%"
"02/21/2019","1,811.62","1,818.59","1,819.08","1,810.95","228.96M","-0.38%"
"02/20/2019","1,818.59","1,822.37","1,834.39","1,818.59","381.70M","-0.21%"
"02/19/2019","1,822.37","1,821.43","1,822.82","1,817.42","251.41M","0.05%"
"02/18/2019","1,821.43","1,820.26","1,824.89","1,820.26","317.22M","0.06%"
"02/17/2019","1,820.26","1,798.76","1,820.93","1,798.76","391.76M","1.20%"
"02/14/2019","1,798.76","1,800.14","1,803.60","1,798.38","202.46M","-0.08%"
"02/13/2019","1,800.14","1,794.50","1,805.52","1,794.50","257.36M","0.31%"
"02/12/2019","1,794.50","1,759.99","1,794.88","1,759.99","202.75M","1.96%"
"02/11/2019","1,759.99","1,756.58","1,760.61","1,756.45","156.30M","0.19%"
"02/10/2019","1,756.58","1,751.44","1,757.82","1,751.44","142.47M","0.29%"
"02/07/2019","1,751.44","1,745.33","1,754.14","1,744.16","214.70M","0.35%"
"02/06/2019","1,745.33","1,745.66","1,750.67","1,744.23","257.69M","-0.02%"
"02/05/2019","1,745.66","1,732.08","1,745.67","1,732.08","1.94B","0.78%"
"02/04/2019","1,732.08","1,732.54","1,735.79","1,732.07","935.78M","-0.03%"
"02/03/2019","1,732.54","1,722.86","1,735.42","1,722.86","339.87M","0.56%"
"01/31/2019","1,722.86","1,728.99","1,731.74","1,722.56","378.34M","-0.35%"
"01/30/2019","1,728.99","1,724.82","1,733.41","1,724.82","216.82M","0.24%"
"01/29/2019","1,724.82","1,727.20","1,728.61","1,721.53","212.49M","-0.14%"
"01/28/2019","1,727.20","1,724.44","1,729.67","1,724.44","256.60M","0.16%"
"01/27/2019","1,724.44","1,695.10","1,724.90","1,695.04","147.92M","1.73%"
"01/23/2019","1,695.10","1,697.43","1,697.87","1,690.96","118.78M","-0.14%"
"01/22/2019","1,697.43","1,701.76","1,705.00","1,697.43","122.44M","-0.25%"
"01/21/2019","1,701.76","1,701.49","1,702.78","1,699.77","107.82M","0.02%"
"01/20/2019","1,701.49","1,697.43","1,702.72","1,697.42","103.13M","0.24%"
"01/17/2019","1,697.43","1,701.14","1,702.04","1,697.24","166.96M","-0.22%"
"01/16/2019","1,701.14","1,702.64","1,705.92","1,700.91","219.09M","-0.09%"
"01/15/2019","1,702.64","1,720.93","1,727.36","1,702.33","133.72M","-1.06%"
