date,return,return_lag1,return_lag2,dist_to_ma5,macd_hist,bb_pb,bb_bandwidth,rsi,label,rolling_volatility
2015-02-03,0.016469038208168696,-0.005242463958060273,-0.008447043534762777,0.0040343571056742356,0.001968028989349002,0.6915407207921106,0.1566542817570852,68.42105263157893,1,
2015-02-04,0.0110174983797795,0.016469038208168696,-0.005242463958060273,0.014832162373145774,0.0030797481744522237,0.7389255777587264,0.1554065733504774,70.12448132780075,0,
2015-02-05,-0.02115384615384608,0.0110174983797795,0.016469038208168696,-0.0050820953870210905,-0.00262499427046059,0.5769974211543337,0.13839295260711149,59.45945945945946,0,
2015-02-08,-0.0032743942370661028,-0.02115384615384608,0.0110174983797795,-0.007822685788787642,-0.007534028548274563,0.5298993593994384,0.12351291390873625,53.97489539748958,0,
2015-02-09,-0.01182654402102512,-0.0032743942370661028,-0.02115384615384608,-0.017763845350052487,-0.013881256078666845,0.38224479589896065,0.09905466588589928,45.531914893617035,0,
2015-02-10,-0.01196808510638292,-0.01182654402102512,-0.0032743942370661028,-0.02223976839057773,-0.020765544931409335,0.21086065649506497,0.08678967162408982,32.40740740740745,0,
2015-02-11,-0.02288021534320328,-0.01196808510638292,-0.01182654402102512,-0.03083700440528636,-0.030300009793912674,-0.03137112550689929,0.08879212913396337,29.787234042553223,0,
2015-02-12,-0.0027548209366390353,-0.02288021534320328,-0.01196808510638292,-0.02320561252023745,-0.035823360659467965,-0.031026977434143108,0.09291155427928854,29.28870292887035,0,
2015-02-15,0.0027624309392264568,-0.0027548209366390353,-0.02288021534320328,-0.011168618904930483,-0.03710054558925698,0.03480145208544652,0.0986634304296127,30.705394190871388,0,
2015-02-16,-0.03581267217630857,0.0027624309392264568,-0.0027548209366390353,-0.03288201160541593,-0.04509100286279659,-0.13009795411871466,0.1221133371076075,17.358490566037673,0,
2015-02-17,-0.021428571428571463,-0.03581267217630857,0.0027624309392264568,-0.0381915192361697,-0.05302512949646084,-0.11314617623948581,0.1501826203418719,16.42857142857136,1,
2015-02-18,0.019708029197080368,-0.021428571428571463,-0.03581267217630857,-0.011603226262911881,-0.050690864778006765,0.07086221288177576,0.1610230751848356,25.34722222222223,0,
2015-02-19,-0.019327129563350143,0.019708029197080368,-0.021428571428571463,-0.019888396050937285,-0.05111337987242512,0.03830902306528196,0.17690861721512038,24.172185430463557,0,
2015-02-22,0.0021897810218978186,-0.019327129563350143,0.019708029197080368,-0.0065123010130245795,-0.048021823751533854,0.10487290528167287,0.18795877858379503,25.58922558922562,0,
