date,vol,return,return_lag1,return_lag2,dist_to_ma5,macd_hist,bb_pb,bb_bandwidth,rsi,label,rolling_volatility
2015-02-03,9.17,0.01363504496663781,0.0,-0.011471178663607695,0.0044270683608349515,-0.0017088377323521836,0.6640493183286508,0.15997335532560505,67.87330316742086,0,
2015-02-04,4.43,0.0,0.01363504496663781,0.0,0.005814957683228927,-0.0030245929360447066,0.6457738804013528,0.15561109648056584,67.28110599078344,0,
2015-02-05,5.65,-0.00887235260446484,0.0,0.01363504496663781,-0.001729605073508278,-0.006230363800179786,0.5644227114440725,0.1297193211584803,59.29411764705884,0,
2015-02-08,2.81,0.0,-0.00887235260446484,0.0,-0.0026496169575485062,-0.008460160220887816,0.5391317500958911,0.11005531780291848,59.29411764705884,0,
2015-02-09,8.05,-0.009240542881894354,0.0,-0.00887235260446484,-0.010954165465552057,-0.011984227980993203,0.4137538621569204,0.09186195506150417,50.95693779904306,0,
2015-02-10,4.48,-0.009035266686097443,-0.009240542881894354,0.0,-0.014549881166309286,-0.016043650343652884,0.27728322690784996,0.08238367625320786,21.070234113712402,0,
2015-02-11,3.58,-0.018823529411764683,-0.009035266686097443,-0.009240542881894354,-0.0241619376352894,-0.022295237153076228,0.05298938775918643,0.08238367625320786,17.35537190082647,0,
2015-02-12,3.93,-0.004796163069544335,-0.018823529411764683,-0.009035266686097443,-0.020648967551622377,-0.026479048439058232,0.01658762436600333,0.0850489075753528,17.307692307692335,1,
2015-02-15,1.82,0.0072289156626506035,-0.004796163069544335,-0.018823529411764683,-0.006594973560691608,-0.026534438125124987,0.11902667700916834,0.08825753498447116,25.00000000000003,0,
2015-02-16,6.1,-0.037679425837320535,0.0072289156626506035,-0.004796163069544335,-0.03177277650740162,-0.03351148173510843,-0.1331204354028113,0.10708909204081322,15.502183406113573,0,
2015-02-17,5.45,-0.0049720323182100845,-0.037679425837320535,0.0072289156626506035,-0.024969549330085217,-0.03736481330933677,-0.05335561060739784,0.1255188381505363,15.502183406113573,1,
2015-02-18,3.17,0.022173641474078742,-0.0049720323182100845,-0.037679425837320535,0.0004890872409366587,-0.033420965967669365,0.15069202293967152,0.12784847986076706,28.514056224899633,0,
2015-02-19,6.73,-0.02658111824014675,0.022173641474078742,-0.0049720323182100845,-0.0180607779079085,-0.03480375867390922,0.025076188230189148,0.1363805603841043,26.055045871559656,1,
2015-02-22,2.79,0.005021971123666091,-0.02658111824014675,0.022173641474078742,-0.004415148311672112,-0.03280015371008002,0.10738906641748423,0.14043597254632237,28.163992869875244,1,
2015-02-23,6.86,0.007495315427857641,0.005021971123666091,-0.02658111824014675,0.0025483249425073407,-0.028193753079445005,0.1916760136694435,0.1424984476081541,25.09293680297398,0,
2015-02-24,3.53,0.002479851208927464,0.007495315427857641,0.005021971123666091,0.003039513677811634,-0.023154269036966164,0.23445696304862254,0.14041079258246988,26.190476190476204,0,
2015-02-25,2.12,-0.01236858379715522,0.002479851208927464,0.007495315427857641,-0.004488218426630164,-0.02111798938350891,0.1821019864407515,0.14024949110215615,25.765765765765792,0,
2015-02-26,13.51,-0.037257357545397496,-0.01236858379715522,0.002479851208927464,-0.03490050844265902,-0.026064268475639238,0.010685210769477324,0.15220911541665086,21.216617210682514,1,
2015-03-01,3.77,0.01560975609756099,-0.037257357545397496,-0.01236858379715522,-0.014950794852384486,-0.024410832393848635,0.14847618814086072,0.15767162548596875,27.681159420289887,1,
2015-03-02,7.81,0.022734550112071705,0.01560975609756099,-0.037257357545397496,0.009481668773704044,-0.017184055057720173,0.3057813237082107,0.1557031843506481,35.89041095890411,1,
2015-03-03,6.12,0.019724483406386994,0.022734550112071705,0.01560975609756099,0.027898756548633497,-0.00731423037966554,0.4481591454936089,0.14547807905617005,44.58161865569274,0,
2015-03-04,3.17,0.002456248081056156,0.019724483406386994,0.022734550112071705,0.025826316450923592,0.00020151174981718895,0.4877772334334451,0.13259243846725124,46.185852981969504,1,
2015-03-05,3.32,0.00735068912710557,0.002456248081056156,0.019724483406386994,0.01965525793650791,0.006868396257452052,0.5694231068200345,0.12100848371174876,46.185852981969504,1,
2015-03-08,2.72,0.00729705077531162,0.00735068912710557,0.002456248081056156,0.0151366589042774,0.012638089686020135,0.6680162093752433,0.10772914612205084,57.67366720516964,0,
2015-03-09,6.09,0.0021128886205854513,0.00729705077531162,0.00735068912710557,0.009486742884942556,0.01642927921649843,0.7263081240834018,0.09718797490134372,59.67213114754098,0,
2015-03-10,8.43,-0.004518072289156572,0.0021128886205854513,0.00729705077531162,0.0020009701673540103,0.01734020615918904,0.7128555749392188,0.08863644380176863,52.88808664259928,0,
2015-03-11,6.97,-0.026323751891074165,-0.004518072289156572,0.0021128886205854513,-0.02158710854363033,0.011763694383969778,0.42756822366132663,0.08485169232520291,52.88808664259928,0,
2015-03-12,5.44,0.0049720323182100845,-0.026323751891074165,-0.004518072289156572,-0.01342281879194629,0.008959719199111885,0.5015171987057888,0.08153258869683724,52.88808664259928,1,
2015-03-15,18.78,0.03896103896103886,0.0049720323182100845,-0.026323751891074165,0.02208432195656118,0.015040027256195389,0.96586360471522,0.08335605034075905,60.21341463414634,0,
2015-03-16,7.8,-0.01636904761904756,0.03896103896103886,0.0049720323182100845,0.006272074047010134,0.014784815721176101,0.7397782602631787,0.08530974657293154,55.04978662873401,0,0.2777346757492137
2015-03-17,6.61,0.002420574886535576,-0.01636904761904756,0.03896103896103886,0.008216676810712142,0.014558817090443935,0.7439201249215949,0.08681366611459784,58.86736214605071,0,0.274392665222577
2015-03-18,4.48,-0.009658919408391142,0.002420574886535576,-0.01636904761904756,-0.005335596919905483,0.011777086722036948,0.6285292966591801,0.08704221722172668,67.63698630136989,1,0.27532155617345083
2015-03-19,7.46,0.014324900944833852,-0.009658919408391142,0.002420574886535576,0.0031952734068847466,0.012554049194407502,0.766334257394392,0.08798408323922789,67.58147512864494,0,0.27844347180920065
2015-03-22,6.25,-0.023737980769230727,0.014324900944833852,-0.009658919408391142,-0.014020393299344458,0.007451162880805473,0.4817557206109195,0.08674469949642505,54.653130287648075,1,0.2859706548157827
2015-03-23,6.42,0.009849184364419727,-0.023737980769230727,0.014324900944833852,-0.0028567955263798517,0.005997180968775667,0.5854768117193541,0.08656937932397175,52.142857142857146,0,0.287101155725335
2015-03-24,9.82,0.004876562023773179,0.009849184364419727,-0.023737980769230727,0.002981260647359596,0.005871730369429699,0.6304424948855852,0.08689025766499969,52.81690140845071,0,0.286687814333101
2015-03-25,12.58,-0.019108280254777066,0.004876562023773179,0.009849184364419727,-0.013362621270364472,0.0015305754838247799,0.39896091259222344,0.08510456124894418,45.46952224052716,0,0.28684394543521974
2015-03-26,7.39,-0.009894867037724242,-0.019108280254777066,0.004876562023773179,-0.015556785340957946,-0.0032504715769058196,0.2029445897121708,0.06839044206064938,40.975609756097526,0,0.287828407467492
2015-03-29,4.71,-0.002498438475952547,-0.009894867037724242,-0.019108280254777066,-0.014684106614017978,-0.006517571729797821,0.09260716830748675,0.058478480312431136,39.77272727272727,0,0.2867770908725811
2015-03-30,6.84,0.00250469630557304,-0.002498438475952547,-0.009894867037724242,-0.007378014756029616,-0.0076285550168158425,0.1272054850451587,0.05766799335426417,41.54351395730704,0,0.2654200115266823
2015-03-31,10.44,-0.007495315427857641,0.00250469630557304,-0.002498438475952547,-0.0074953154278574186,-0.00935466466569486,0.06224976803475658,0.06318396033551574,46.33699633699633,0,0.2659284751030222
2015-04-01,12.08,-0.005034612964128438,-0.007495315427857641,0.00250469630557304,-0.008031120592295049,-0.010843975597587506,0.05480451828410664,0.06969376669073066,43.406593406593394,0,0.25767618863416636
2015-04-02,7.14,-0.024984187223276333,-0.005034612964128438,-0.007495315427857641,-0.025538908907010383,-0.016102590747821537,-0.1134999909859256,0.08515873867861501,22.24448897795591,0,0.25633782050013015
2015-04-05,10.6,-0.05643853389555642,-0.024984187223276333,-0.005034612964128438,-0.06366679541650588,-0.02947404446407423,-0.2935335044624362,0.1262037874418413,17.961165048543663,0,0.3017290553321008
2015-04-06,14.37,-0.007906497078033592,-0.05643853389555642,-0.024984187223276333,-0.05178078591142066,-0.037525869976833826,-0.14577278401482988,0.1567557081990155,16.271721958925724,1,0.30036494726873403
2015-04-07,8.8,0.01628551628551622,-0.007906497078033592,-0.05643853389555642,-0.020570359981299635,-0.03726860007596189,0.030369118361174827,0.1730505260185022,23.148148148148096,0,0.30538865717059716
2015-04-08,6.05,-0.0054551653596999206,0.01628551628551622,-0.007906497078033592,-0.00970939706681162,-0.03575240679935234,0.06882629661532963,0.1900714214712384,16.69367909238248,0,0.30421462998046384
2015-04-09,5.29,0.0027425437092902794,-0.0054551653596999206,0.01628551628551622,0.003774879890185323,-0.03191351519849192,0.13069491253750481,0.2029160615815574,20.329670329670293,0,0.2864621372736682
2015-04-14,2.81,-0.0054700854700854284,0.0027425437092902794,-0.0054551653596999206,-0.0017158544955389043,-0.028278928902366274,0.1461452095066343,0.20740095000112435,14.905660377358444,0,0.2819973606427721
2015-04-15,7.1,-0.016156754898590475,-0.0054700854700854284,0.0027425437092902794,-0.016224391585315412,-0.026876822411849133,0.1225839464001654,0.21695704046667935,11.229946524064133,0,0.27453251847070814
2015-04-16,7.0,-0.011180992313067795,-0.016156754898590475,-0.0054700854700854284,-0.020286644049020364,-0.025928969080106293,0.12212783782134917,0.22510336566209568,11.88679245283015,0,0.2662968850930461
2015-04-19,16.17,-0.01660777385159018,-0.011180992313067795,-0.016156754898590475,-0.027535117758054284,-0.02621368845768042,0.10660856102722108,0.23628761083642405,11.559633027522906,0,0.2676756610139928
2015-04-20,4.25,-0.015810276679841917,-0.01660777385159018,-0.011180992313067795,-0.030305175954117414,-0.027004835780371966,0.09411918508627792,0.24303325092520073,10.84337349397586,0,0.26667558609093767
2015-04-21,5.23,0.0032858707557503752,-0.015810276679841917,-0.01660777385159018,-0.015900300816501733,-0.024628043412362743,0.14770128972431054,0.25025368604253473,10.99656357388318,0,0.26519428162868686
2015-04-22,5.76,-0.020378457059679778,0.0032858707557503752,-0.015810276679841917,-0.024071925754060364,-0.024482259058277694,0.11664574258711802,0.25545771695698416,10.423452768729646,1,0.26716266669329464
2015-04-23,3.58,0.0070579494799405396,-0.020378457059679778,0.0032858707557503752,-0.008630147005046274,-0.02090034475528088,0.1702252227923264,0.2503417305956635,13.452188006482956,0,0.27012221518056856
2015-04-26,4.51,-0.028033935817041722,0.0070579494799405396,-0.020378457059679778,-0.025878003696857665,-0.021367542585076615,0.10993783311431701,0.25417819917499473,13.51791530944621,0,0.27125915892176056
2015-04-27,7.81,-0.05351043643263742,-0.028033935817041722,0.0070579494799405396,-0.06099397590361444,-0.028447601369510578,-0.0010164329898547453,0.27325403497799866,14.285714285714263,0,0.30108679981721725
2015-04-28,12.8,-0.052927024859663274,-0.05351043643263742,-0.028033935817041722,-0.0840701101287421,-0.038662128094945236,-0.06092472507313917,0.30422275893343736,12.028985507246347,1,0.2930341450257203
2015-04-29,10.2,0.024132091447925497,-0.052927024859663274,-0.05351043643263742,-0.0416765707947071,-0.03815615895940064,0.05696949786120141,0.3132819427256115,13.285714285714292,1,0.3102062527490958
2015-04-30,10.73,0.05043406366267056,0.024132091447925497,-0.052927024859663274,0.020399967874066283,-0.026722200694257847,0.21851026332902107,0.30190726123014383,26.67493796526054,0,0.355092086823071
2015-05-03,7.01,0.0,0.05043406366267056,0.024132091447925497,0.028162175285263435,-0.01676302722401979,0.23731955875089045,0.2841368493291018,25.939849624060145,1,0.3559347808296168
2015-05-04,10.34,0.022432113341204207,0.0,0.05043406366267056,0.04245245164914557,-0.004574483454500289,0.3287247824338412,0.2653596700258406,31.466030989272937,1,0.3611380880474375
2015-05-05,8.55,0.046959199384141836,0.022432113341204207,0.0,0.06092518917232259,0.012531017144781137,0.5110649768729146,0.25823878760638785,42.231947483588634,0,0.3911881407553736
2015-05-06,7.6,-0.010294117647058787,0.046959199384141836,0.022432113341204207,0.02810876871371848,0.022220462125273177,0.48451056196902414,0.25202467335515405,42.417582417582416,0,0.3886183367285854
2015-05-07,5.93,0.0,-0.010294117647058787,0.046959199384141836,0.01638601525334149,0.028489980058827857,0.5023233173707661,0.23996600599148527,44.72769409038241,0,0.38765735590145806
2015-05-10,10.06,-0.010401188707280795,0.0,-0.010294117647058787,-0.0034415681580127755,0.030435466470015993,0.47727768912218005,0.22762032006998656,45.572609208972864,0,0.38600365082340765
2015-05-11,11.96,-0.007132132132132152,-0.010401188707280795,0.0,-0.014016252888988445,0.030073738470769718,0.46655718224046955,0.21159174782334422,43.99066511085179,0,0.3858540617567452
2015-05-12,11.25,-0.04272211720226837,-0.007132132132132152,-0.010401188707280795,-0.042722117202268595,0.022217451024554843,0.28480901099763883,0.19853116248189953,41.24726477024069,0,0.3999780454785359
2015-05-13,4.59,-0.033570300157977906,-0.04272211720226837,-0.007132132132132152,-0.05739599383667182,0.011811815002435375,0.15361701511241851,0.1949954544576161,36.530612244897966,0,0.40583519040920457
2015-05-14,9.93,-0.03473641193297916,-0.033570300157977906,-0.04272211720226837,-0.06640316205533603,0.00032685580113125945,0.044447248663837535,0.2015910588775259,36.198179979777564,0,0.4128072305551174
2015-05-17,18.56,-0.0038103302286197627,-0.03473641193297916,-0.033570300157977906,-0.046519166869276374,-0.0063831442399382154,0.08033222637337357,0.2091050883299689,41.773628938156364,1,0.41293790093876603
2015-05-18,19.68,0.09604759881002978,-0.0038103302286197627,-0.03473641193297916,0.05068035525136483,0.0052631563782491175,0.5147672784951218,0.20146507743714412,61.40904311251315,1,0.5108231192609374
2015-05-19,13.79,0.025591314462970027,0.09604759881002978,-0.0038103302286197627,0.06773776844824808,0.0175814902971754,0.6588097700608375,0.19335637699713404,61.770833333333336,0,0.4947289243931498
2015-05-20,9.01,-0.010586011342154977,0.025591314462970027,0.09604759881002978,0.04213125199107992,0.023636362078827328,0.6125723493394383,0.1891070088069856,54.387990762124716,1,0.4950346098528608
2015-05-21,14.69,0.0466182651891478,-0.010586011342154977,0.025591314462970027,0.05891904430526562,0.0349667882745935,0.8557141800803616,0.1920509017510291,60.020242914979754,1,0.5126849109080063
2015-05-24,16.31,0.05841548010222719,0.0466182651891478,-0.010586011342154977,0.07537651161065373,0.05135524495036925,1.0605789635276497,0.2228582871841455,63.794683776351974,1,0.5413287295771269
2015-05-25,13.95,0.01310796826491889,0.05841548010222719,0.0466182651891478,0.061284960612849604,0.062152063184000905,1.018237692889067,0.25077887490992073,60.77457795431975,1,0.5425596560635356
2015-05-26,11.14,0.012597889002383456,0.01310796826491889,0.05841548010222719,0.04969645630382602,0.0686726889295482,0.9967997964288846,0.263455176205574,63.87795275590551,0,0.5433031309522798
2015-05-27,12.49,-0.01580363147276398,0.012597889002383456,0.01310796826491889,0.0109836971539099,0.0666540553809638,0.8820542005074975,0.2679336337514993,61.05362182502351,0,0.5432055257688135
2015-05-28,10.46,-0.009566108643662474,-0.01580363147276398,0.012597889002383456,-0.009633779721235358,0.06044961718360486,0.8074709523783244,0.2748507535214486,61.05362182502351,0,0.5429030297041165
2015-05-31,10.74,-0.006553984132459556,-0.009566108643662474,-0.01580363147276398,-0.014845727577478263,0.05238342669665634,0.7546731869196477,0.27726542892751416,61.05362182502351,1,0.5407895612361783
2015-06-01,8.49,0.009722222222222188,-0.006553984132459556,-0.009566108643662474,-0.0032903756512202564,0.0464532067507131,0.7646633239954099,0.28272776114590387,69.22290388548056,0,0.5386666284556862
2015-06-02,7.71,0.003438789546079901,0.009722222222222188,-0.006553984132459556,0.003991191852463549,0.040918049484616525,0.7569682409570068,0.2902759034514422,76.07973421926908,0,0.5386686362737504
2015-06-03,7.83,0.0,0.003438789546079901,0.009722222222222188,0.004613371892859597,0.035189234793091106,0.7366272240166682,0.29640901841739503,83.98533007334962,0,0.5343514776208276
2015-06-04,4.81,-0.00993831391363964,0.0,0.003438789546079901,-0.004685454420175095,0.027708437676766094,0.6858041235785476,0.2997217752468974,81.98090692124099,0,0.5355626883210522
2015-06-07,6.32,-0.025960539979231423,-0.00993831391363964,0.0,-0.026095383124523974,0.01652292199446677,0.5852427921734978,0.298826821285629,67.10334788937406,0,0.5345627559958599
2015-06-08,5.6,-0.023454157782515916,-0.025960539979231423,-0.00993831391363964,-0.03828655421012095,0.0041384235954848025,0.4984656667522319,0.2963303154431765,57.49636098981078,0,0.513776852989038
2015-06-09,6.77,-0.010189228529839944,-0.023454157782515916,-0.025960539979231423,-0.034707928170913394,-0.005932719151090525,0.4510406532470971,0.2861655039925618,57.49636098981078,0,0.48705619312779475
2015-06-10,7.16,-0.006985294117647145,-0.010189228529839944,-0.023454157782515916,-0.026456170703575532,-0.013438068605964144,0.4043978169821672,0.26552469292770997,46.746575342465775,0,0.4848679346178456
2015-06-11,4.36,-0.02776749352091823,-0.006985294117647145,-0.010189228529839944,-0.035197295907120285,-0.022484946810043253,0.2539536666835343,0.23141650398171829,22.645290581162357,0,0.472784094858125
2015-06-14,3.07,-0.007235338918507139,-0.02776749352091823,-0.006985294117647145,-0.027383972541411672,-0.02839873614922798,0.14189074450816086,0.18992312048282028,15.6250000000001,0,0.47345019288857193
2015-06-15,6.38,0.00383582662063664,-0.007235338918507139,-0.02776749352091823,-0.014015522568005423,-0.030123316761811157,0.1490795913940111,0.18543613946409074,10.596026490066222,1,0.46927809386654656
2015-06-16,5.19,0.014138326327856277,0.00383582662063664,-0.007235338918507139,0.004922377887163876,-0.027340043082277558,0.21830472719507205,0.18462301164996636,19.187358916478544,0,0.45039756091719513
2015-06-17,3.75,0.0,0.014138326327856277,0.00383582662063664,0.0085119319045448,-0.02417617754226429,0.20907115362072795,0.180915224903785,20.481927710843365,0,0.44942753814445
2015-06-18,6.25,-0.007159005275056529,0.0,0.014138326327856277,0.0006075795549478347,-0.022097052670618282,0.19332296452775097,0.18803663459436115,20.481927710843365,0,0.44989287709585646
2015-06-21,1.9,-0.006831119544591924,-0.007159005275056529,0.0,-0.006981862335888156,-0.02069263207972027,0.19399940425335876,0.19398840163542516,14.074074074074076,0,0.44931739163265577
2015-06-22,8.25,-0.021780664883454315,-0.006831119544591924,-0.007159005275056529,-0.024390243902439046,-0.02222645130356131,0.13288108956942804,0.2004022466022024,10.398230088495524,0,0.45326508621880474
2015-06-23,4.76,-0.014843750000000044,-0.021780664883454315,-0.006831119544591924,-0.029103788112103568,-0.02425830279088096,0.10701805234196826,0.2030554650031153,9.591836734693814,1,0.4377441577766465
2015-06-24,6.3,0.007533703409992043,-0.014843750000000044,-0.021780664883454315,-0.013203883495145674,-0.022802901823402902,0.17483096929710917,0.20386138778123636,13.749999999999986,0,0.4262279695477972
2015-06-25,8.88,-0.00747737111373481,0.007533703409992043,-0.014843750000000044,-0.011910358877918914,-0.02161115189947816,0.17505459422618247,0.20559538132851052,15.566037735849008,1,0.41315886253593415
2015-06-28,5.44,0.026169706582077845,-0.00747737111373481,0.007533703409992043,0.016256970077750843,-0.015173369231001925,0.31429177062498187,0.2002306067021431,31.132075471698116,0,0.4182827715775791
2015-06-29,6.31,-0.014296754250386345,0.026169706582077845,-0.00747737111373481,0.002436340773341872,-0.012323590271682006,0.26612013293450465,0.1907178737990027,30.484988452655898,0,0.3158542944593506
2015-07-02,6.28,-0.011368090944727682,-0.014296754250386345,0.026169706582077845,-0.00895944671486959,-0.011333463382586076,0.2261132060207612,0.17675044971182968,29.796839729119625,1,0.30771361128086844
2015-07-05,9.8,0.011498810467882814,-0.011368090944727682,-0.014296754250386345,0.0016491283178892147,-0.007833578714294694,0.29870535736175396,0.15279424681831705,40.55415617128469,0,0.3086449570482428
2015-07-06,6.05,-0.06272050176401411,0.011498810467882814,-0.011368090944727682,-0.05141632944537011,-0.014987780380767826,-0.0683008916786366,0.1458231826657948,29.92565055762084,0,0.3253038378974823
2015-07-07,7.77,-0.007946465913843626,-0.06272050176401411,0.011498810467882814,-0.042544603213046095,-0.019412271103310057,-0.05586840028590671,0.14820181115941747,27.605118829981777,0,0.265454179522932
